Photon #,Steps,Kill Event,Starting Global x-Position,Starting Global y-Position,Starting Global z-Position,Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Energy (GeV),Steps Inside Matter,Distance Inside Matter (cm),dt,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
1,6689,Heading Out,-5.652564374,4.23266329068,-0.00832310380216,0.0,0.0,0.0478308215796,141,0.042270736578,1e-12,6.5506e-08,0,0,0
2,58,Pair-Production in Short Quad,-5.66832671617,4.21188325631,-0.00832433596011,0.0,0.0,0.784590707149,58,0.017387962564,1e-12,5.8788e-08,0,0,0
3,205,Pair-Production in Short Quad,-5.66687938251,4.21379565169,-0.00832422265821,0.0,0.0,0.160516842675,205,0.06145745389,1e-12,5.8943e-08,0,0,0
4,104,Pair-Production in Short Quad,-5.6661548406,4.21475118642,-0.00832416600726,0.0,0.0,0.0906005924999,104,0.031178415632,1e-12,5.8846e-08,0,0,0
0,7400,Heading Out,-6.90849706136,-1.46237992389,0.00950926451144,0.0,0.0,0.552765081839,6,0.001798754748,1e-12,1.5305e-08,0,0,0
0,5632,Heading Out,-2.89414827634,6.4414831661,0.0125024128307,0.0,0.0,0.042506570365,22,0.0065954340759999995,1e-12,1.3333e-08,0,0,0
0,7630,Heading Out,-4.93133969614,-5.05456011428,0.00935125934562,0.0,0.0,0.191647115636,8,0.002398339664,1e-12,1.3586e-08,0,0,0
1,7631,Heading Out,-4.93195081741,-5.05390025792,0.00935125778185,0.0,0.0,0.155766759194,5,0.0014989622899999999,1e-12,1.359e-08,0,0,0
0,2600,Calorimeter Contact,-6.44358257744,2.82054664787,0.0132427160092,-0.0560752326218,0.0129220613231,0.0627056053453,14,0.004197094412,1e-12,7.516e-09,1.54307941017,1.57038494659,1.59260519303
0,8260,Heading Out,-5.76279340526,-4.08152012043,0.00533856340246,0.0,0.0,0.134077779744,35,0.01049273603,1e-12,1.2272e-08,0,0,0
0,8630,Heading Out,-4.96176440414,-5.02515679775,-0.00342482967843,0.0,0.0,0.310303672834,75,0.02248443435,1e-12,1.411e-08,0,0,0
0,301,Calorimeter Contact,-6.13541458707,3.43884496344,0.00557030216457,-0.106288198072,0.00551890714653,0.229519961493,33,0.009893151114,1e-12,5.087e-09,1.62171523463,1.5702268029,1.47024674701
0,7933,Heading Out,6.78763748172,1.94889116358,-0.0063115768047,0.0,0.0,0.155437153907,21,0.0062956416179999995,1e-12,1.5033e-08,0,0,0
0,7769,Heading Out,3.68426273562,-6.0242678048,-0.00169934431201,0.0,0.0,0.048814082554,56,0.016788377648,1e-12,1.3351e-08,0,0,0
1,7932,Heading Out,3.60098278359,-6.06814948423,-0.00162681452624,0.0,0.0,0.843793249688,40,0.011991698319999999,1e-12,1.3828e-08,0,0,0
0,2142,Calorimeter Contact,5.76938735154,4.07210088122,-0.0165201161008,-0.110670160712,-0.0166479674996,0.874988807734,7,0.002098547206,1e-12,8.467e-09,1.52798196494,1.57059722952,1.5774967646
0,7272,Heading Out,5.5478258094,-4.36927753782,-0.00994727007129,0.0,0.0,0.0829150123129,70,0.02098547206,1e-12,1.161e-08,0,0,0
1,7273,Heading Out,5.54743738096,-4.36973429268,-0.00994663513494,0.0,0.0,0.440448422195,69,0.020685679602,1e-12,1.1613e-08,0,0,0
0,93,Calorimeter Top Contact,5.24161293994,4.68953879383,-0.00742317286126,0.0,0.0,0.635650674674,26,0.007794603908,1e-12,3.685e-09,0,0,0
1,91,Calorimeter Top Contact,5.24195689356,4.68904767518,-0.00742379675601,0.0,0.0,0.334639414153,24,0.007195018992,1e-12,3.685e-09,0,0,0
0,9040,Heading Out,-4.3319198752,-5.57686196526,0.0137696020243,0.0,0.0,0.121077069455,22,0.0065954340759999995,1e-12,1.1676e-08,0,0,0
0,2597,Calorimeter Contact,-0.777968051004,6.99031747121,-0.00524916157812,-0.0974912838302,-0.0061068397581,0.0772816327523,10,0.0029979245799999998,1e-12,8.102e-09,1.48962349086,1.56969470764,1.53908008565
0,7395,Heading Out,6.56668370833,2.59802749284,0.00168533579606,0.0,0.0,0.198638840808,98,0.029379660884,1e-12,1.4372e-08,0,0,0
1,1102,Calorimeter Contact,6.7047694115,2.13850408721,0.00158991688618,-0.108166482413,0.00152423815977,0.7501301701,3,0.000899377374,1e-12,9.68e-09,1.53378880585,1.57059752404,1.58331047268
0,7069,Heading Out,3.41304361646,-6.1822115187,-0.0153178847673,0.0,0.0,1.20463926748,86,0.025782151388,1e-12,1.1776e-08,0,0,0
0,5485,Heading Out,6.21925371671,3.34548393827,0.0146295969792,0.0,0.0,0.0432466908414,2,0.000599584916,1e-12,2.9678e-08,0,0,0
0,7469,Heading Out,5.22547171141,4.74989586979,0.0164361320273,0.0,0.0,0.0444958002691,24,0.007195018992,1e-12,1.4098e-08,0,0,0
0,1112,Calorimeter Contact,6.87197299189,-1.49691356605,-0.00823694789978,-0.090050258916,-0.00825475848349,0.121820590276,27,0.008094396366,1e-12,8.526e-09,1.57432133578,1.57074290102,1.51770407143
0,1708,Pair-Production in Long Quad,-6.69553440509,-2.2445737921,0.00270757500242,0.0,0.0,0.0663041967085,67,0.020086094686,1e-12,9.735e-09,0,0,0
1,7330,Heading Out,-6.72385768761,-2.14572395786,0.00252650321143,0.0,0.0,0.263601132927,37,0.011092320946,1e-12,1.57e-08,0,0,0
0,1340,Calorimeter Contact,5.26873053946,-4.70174651014,0.014598027416,-0.111492631076,0.0144323798585,0.14352819349,2,0.000599584916,1e-12,4.812e-09,1.57400510279,1.57038399309,1.51839362889
0,9104,Heading Out,-6.40945830206,-2.96402362545,0.0209258238806,0.0,0.0,0.227025725451,21,0.0062956416179999995,1e-12,1.3066e-08,0,0,0
1,3172,Calorimeter Contact,-6.48468741156,-2.72185817214,0.0211423213982,-0.0578979422694,0.021954059171,0.110015748605,11,0.0032977170379999998,1e-12,7.98e-09,1.51372258199,1.57164994134,1.56320894465
0,7879,Heading Out,-6.39359394423,-2.93076113367,0.00783845572766,0.0,0.0,0.0548546021331,36,0.010792528487999999,1e-12,1.7256e-08,0,0,0
0,8541,Heading Out,-6.48550932462,-2.79391374918,-0.0018050599703,0.0,0.0,0.262784856233,73,0.021884849434,1e-12,1.419e-08,0,0,0
0,8563,Heading Out,5.10257311641,-4.88179335204,-0.0147214256886,0.0,0.0,0.504584902524,30,0.00899377374,1e-12,1.3916e-08,0,0,0
0,2679,Calorimeter Contact,4.18874130537,-5.65012692716,-0.000451733536312,-0.097850708137,-0.000870540897,0.133300370886,49,0.014689830442,1e-12,6.881e-09,1.48667459671,1.5702748673,1.53613705726
1,2674,Calorimeter Contact,4.18746976157,-5.65092069257,-0.000452515184964,-0.0975958900752,-0.000870540896976,0.309089961338,43,0.012891075694,1e-12,6.881e-09,1.4869906547,1.57027486729,1.53645349151
2,2670,Calorimeter Contact,4.18645232714,-5.65155538536,-0.000453140503878,-0.0973563014752,-0.000870540896949,0.0490724292489,39,0.011691905862,1e-12,6.881e-09,1.48728833287,1.57027486728,1.53675152392
3,2657,Calorimeter Contact,4.18314432323,-5.6536159838,-0.000455172790343,-0.0965576213285,-0.000870540896856,0.228368386318,26,0.007794603908,1e-12,6.881e-09,1.48828388786,1.57027486724,1.53774826265
0,9093,Heading Out,3.11492689719,-6.3374280169,0.00697838212701,0.0,0.0,0.0957469847723,51,0.015289415358,1e-12,1.2521e-08,0,0,0
0,108,Calorimeter Top Contact,6.88799098836,1.42375154844,-0.0124982125968,0.0,0.0,0.359162678102,38,0.011392113403999999,1e-12,5.047e-09,0,0,0
0,8121,Heading Out,3.74236056316,-5.9887521388,0.00959864334993,0.0,0.0,1.15480936871,44,0.013190868151999999,1e-12,1.5413e-08,0,0,0
0,2678,Calorimeter Contact,6.45261832698,-2.7990965864,0.00164832108968,-0.0939380518883,0.00166950308927,0.380208868089,51,0.015289415358,1e-12,9.04e-09,1.4917105841,1.57082271048,1.54118181878
0,7585,Heading Out,6.05404760064,3.63561517493,0.0179953205065,0.0,0.0,0.0425891812446,55,0.01648858519,1e-12,1.5691e-08,0,0,0
0,1853,Calorimeter Top Contact,3.76810566097,-5.97227234416,-0.00425379090889,0.0,0.0,0.492790008465,4,0.001199169832,1e-12,5.098e-09,0,0,0
